imagem,fator_escala,n_deteccoes
imagem_web_5.jpg,0.3,3
imagem_web_5.jpg,0.25,3
imagem_web_5.jpg,0.2,3
imagem_web_5.jpg,0.15,3
imagem_web_6.jpeg,1.0,11
imagem_web_6.jpeg,0.75,10
imagem_web_6.jpeg,0.5,15
imagem_web_6.jpeg,0.4,10
imagem_web_6.jpeg,0.3,8
imagem_web_6.jpeg,0.25,9
imagem_web_6.jpeg,0.2,1
imagem_web_6.jpeg,0.15,0
imagem_web_6.jpeg,1.0,11
imagem_web_6.jpeg,0.75,10
imagem_web_6.jpeg,0.5,15
imagem_web_6.jpeg,0.4,10
imagem_web_6.jpeg,0.3,8
imagem_web_6.jpeg,0.25,9
imagem_web_6.jpeg,0.2,1
imagem_web_6.jpeg,0.15,0
imagem_web_7.jpg,1.0,2
imagem_web_7.jpg,0.75,2
imagem_web_7.jpg,0.5,1
imagem_web_7.jpg,0.4,2
imagem_web_7.jpg,0.3,0
imagem_web_7.jpg,0.25,2
imagem_web_7.jpg,0.2,0
imagem_web_7.jpg,0.15,0
imagem_web_7.jpg,1.0,2
imagem_web_7.jpg,0.75,2
imagem_web_7.jpg,0.5,1
imagem_web_7.jpg,0.4,2
imagem_web_7.jpg,0.3,0
imagem_web_7.jpg,0.25,2
imagem_web_7.jpg,0.2,0
imagem_web_7.jpg,0.15,0
imagem_web_8.jpg,1.0,10
imagem_web_8.jpg,0.75,10
imagem_web_8.jpg,0.5,9
imagem_web_8.jpg,0.4,13
imagem_web_8.jpg,0.3,11
imagem_web_8.jpg,0.25,8
imagem_web_8.jpg,0.2,11
imagem_web_8.jpg,0.15,7
imagem_web_8.jpg,1.0,10
imagem_web_8.jpg,0.75,10
imagem_web_8.jpg,0.5,9
imagem_web_8.jpg,0.4,13
imagem_web_8.jpg,0.3,11
imagem_web_8.jpg,0.25,8
imagem_web_8.jpg,0.2,11
imagem_web_8.jpg,0.15,7
imagem_web_9.jpg,1.0,20
imagem_web_9.jpg,0.75,24
imagem_web_9.jpg,0.5,17
imagem_web_9.jpg,0.4,18
imagem_web_9.jpg,0.3,11
imagem_web_9.jpg,0.25,6
imagem_web_9.jpg,0.2,3
imagem_web_9.jpg,0.15,0
imagem_web_9.jpg,1.0,20
imagem_web_9.jpg,0.75,24
imagem_web_9.jpg,0.5,17
imagem_web_9.jpg,0.4,18
imagem_web_9.jpg,0.3,11
imagem_web_9.jpg,0.25,6
imagem_web_9.jpg,0.2,3
imagem_web_9.jpg,0.15,0
