imagem,threshold_box,n_deteccoes,n_pequeno,n_medio,n_grande
DSCN7626.JPG,25,0,0,0,0
DSCN7626.JPG,30,0,0,0,0
DSCN7626.JPG,40,0,0,0,0
DSCN7626.JPG,50,0,0,0,0
DSCN7626.JPG,60,0,0,0,0
DSCN7627.JPG,0,24,0,9,15
DSCN7627.JPG,15,24,0,9,15
DSCN7627.JPG,20,24,0,9,15
DSCN7627.JPG,25,24,0,9,15
DSCN7627.JPG,30,24,0,9,15
DSCN7627.JPG,40,19,0,4,15
DSCN7627.JPG,50,17,0,2,15
DSCN7627.JPG,60,17,0,2,15
DSCN7627.JPG,0,24,0,9,15
DSCN7627.JPG,15,24,0,9,15
DSCN7627.JPG,20,24,0,9,15
DSCN7627.JPG,25,24,0,9,15
DSCN7627.JPG,30,24,0,9,15
DSCN7627.JPG,40,19,0,4,15
DSCN7627.JPG,50,17,0,2,15
DSCN7627.JPG,60,17,0,2,15
imagem_web_1.jpeg,0,60,1,17,42
imagem_web_1.jpeg,15,60,1,17,42
imagem_web_1.jpeg,20,59,0,17,42
imagem_web_1.jpeg,25,59,0,17,42
imagem_web_1.jpeg,30,58,0,16,42
imagem_web_1.jpeg,40,58,0,16,42
imagem_web_1.jpeg,50,49,0,7,42
imagem_web_1.jpeg,60,43,0,2,41
imagem_web_1.jpeg,0,60,1,17,42
imagem_web_1.jpeg,15,60,1,17,42
imagem_web_1.jpeg,20,59,0,17,42
imagem_web_1.jpeg,25,59,0,17,42
imagem_web_1.jpeg,30,58,0,16,42
imagem_web_1.jpeg,40,58,0,16,42
imagem_web_1.jpeg,50,49,0,7,42
imagem_web_1.jpeg,60,43,0,2,41
imagem_web_10.jpg,0,6,2,4,0
imagem_web_10.jpg,15,4,0,4,0
imagem_web_10.jpg,20,4,0,4,0
imagem_web_10.jpg,25,4,0,4,0
imagem_web_10.jpg,30,3,0,3,0
imagem_web_10.jpg,40,1,0,1,0
imagem_web_10.jpg,50,0,0,0,0
imagem_web_10.jpg,60,0,0,0,0
imagem_web_10.jpg,0,6,2,4,0
imagem_web_10.jpg,15,4,0,4,0
imagem_web_10.jpg,20,4,0,4,0
imagem_web_10.jpg,25,4,0,4,0
imagem_web_10.jpg,30,3,0,3,0
imagem_web_10.jpg,40,1,0,1,0
imagem_web_10.jpg,50,0,0,0,0
imagem_web_10.jpg,60,0,0,0,0
imagem_web_2.jpg,0,6,2,3,1
imagem_web_2.jpg,15,6,2,3,1
imagem_web_2.jpg,20,6,2,3,1
imagem_web_2.jpg,25,5,1,3,1
imagem_web_2.jpg,30,4,0,3,1
imagem_web_2.jpg,40,4,0,3,1
