imagem,fator_luminancia,deteccoes_validas,confianca_media
20260411_095448_resized.jpg,0.6,2,0.3151
20260411_095448_resized.jpg,0.7,2,0.3128
20260411_095448_resized.jpg,0.8,2,0.3151
20260411_095448_resized.jpg,0.9,2,0.3173
20260411_095448_resized.jpg,1.0,2,0.3143
20260411_095448_resized.jpg,1.1,2,0.3135
20260411_095448_resized.jpg,1.2,3,0.3
20260411_095448_resized.jpg,1.3,3,0.3056
20260411_095448_resized.jpg,1.4,3,0.299
20260411_095448_resized.jpg,1.5,3,0.3031
20260411_095511.jpg,0.1,0,0.0
20260411_095511.jpg,0.2,0,0.0
20260411_095511.jpg,0.3,0,0.0
20260411_095511.jpg,0.4,0,0.0
20260411_095511.jpg,0.5,0,0.0
20260411_095511.jpg,0.6,1,0.2519
20260411_095511.jpg,0.7,1,0.2673
20260411_095511.jpg,0.8,1,0.282
20260411_095511.jpg,0.9,1,0.2808
20260411_095511.jpg,1.0,1,0.2838
20260411_095511.jpg,1.1,1,0.2834
20260411_095511.jpg,1.2,1,0.2927
20260411_095511.jpg,1.3,1,0.3007
20260411_095511.jpg,1.4,2,0.2774
20260411_095511.jpg,1.5,2,0.3056
20260411_095511.jpg,0.1,0,0.0
20260411_095511.jpg,0.2,0,0.0
20260411_095511.jpg,0.3,0,0.0
20260411_095511.jpg,0.4,0,0.0
20260411_095511.jpg,0.5,0,0.0
20260411_095511.jpg,0.6,1,0.2519
20260411_095511.jpg,0.7,1,0.2673
20260411_095511.jpg,0.8,1,0.282
20260411_095511.jpg,0.9,1,0.2808
20260411_095511.jpg,1.0,1,0.2838
20260411_095511.jpg,1.1,1,0.2834
20260411_095511.jpg,1.2,1,0.2927
20260411_095511.jpg,1.3,1,0.3007
20260411_095511.jpg,1.4,2,0.2774
20260411_095511.jpg,1.5,2,0.3056
DSCN7611.JPG,0.1,5,0.4836
DSCN7611.JPG,0.2,4,0.61
DSCN7611.JPG,0.3,3,0.7184
DSCN7611.JPG,0.4,3,0.746
DSCN7611.JPG,0.5,3,0.7541
DSCN7611.JPG,0.6,3,0.7614
DSCN7611.JPG,0.7,3,0.7676
DSCN7611.JPG,0.8,3,0.7741
DSCN7611.JPG,0.9,3,0.7736
DSCN7611.JPG,1.0,3,0.7739
DSCN7611.JPG,1.1,3,0.7729
DSCN7611.JPG,1.2,3,0.7801
DSCN7611.JPG,1.3,3,0.781
DSCN7611.JPG,1.4,3,0.7744
DSCN7611.JPG,1.5,3,0.7617
DSCN7611.JPG,0.1,5,0.4836
DSCN7611.JPG,0.2,4,0.61
DSCN7611.JPG,0.3,3,0.7184
DSCN7611.JPG,0.4,3,0.746
DSCN7611.JPG,0.5,3,0.7541
DSCN7611.JPG,0.6,3,0.7614
DSCN7611.JPG,0.7,3,0.7676
DSCN7611.JPG,0.8,3,0.7741
DSCN7611.JPG,0.9,3,0.7736
DSCN7611.JPG,1.0,3,0.7739
DSCN7611.JPG,1.1,3,0.7729
DSCN7611.JPG,1.2,3,0.7801
DSCN7611.JPG,1.3,3,0.781
DSCN7611.JPG,1.4,3,0.7744
DSCN7611.JPG,1.5,3,0.7617
DSCN7612.JPG,0.1,4,0.6349
DSCN7612.JPG,0.2,3,0.8109
DSCN7612.JPG,0.3,4,0.6677
DSCN7612.JPG,0.4,4,0.7278
DSCN7612.JPG,0.5,4,0.7336
DSCN7612.JPG,0.6,4,0.7322
DSCN7612.JPG,0.7,4,0.7332
DSCN7612.JPG,0.8,4,0.7318
DSCN7612.JPG,0.9,4,0.7338
DSCN7612.JPG,1.0,4,0.7337
DSCN7612.JPG,1.1,4,0.735
DSCN7612.JPG,1.2,4,0.7317
DSCN7612.JPG,1.3,4,0.7263
DSCN7612.JPG,1.4,4,0.727
DSCN7612.JPG,1.5,4,0.7413
DSCN7612.JPG,0.1,4,0.6349
DSCN7612.JPG,0.2,3,0.8109
DSCN7612.JPG,0.3,4,0.6677
DSCN7612.JPG,0.4,4,0.7278
DSCN7612.JPG,0.5,4,0.7336
DSCN7612.JPG,0.6,4,0.7322
DSCN7612.JPG,0.7,4,0.7332
DSCN7612.JPG,0.8,4,0.7318
DSCN7612.JPG,0.9,4,0.7338
DSCN7612.JPG,1.0,4,0.7337
DSCN7612.JPG,1.1,4,0.735
DSCN7612.JPG,1.2,4,0.7317
DSCN7612.JPG,1.3,4,0.7263
DSCN7612.JPG,1.4,4,0.727
DSCN7612.JPG,1.5,4,0.7413
DSCN7613.JPG,0.1,4,0.5672
DSCN7613.JPG,0.2,4,0.597
DSCN7613.JPG,0.3,5,0.5281
DSCN7613.JPG,0.4,4,0.6096
DSCN7613.JPG,0.5,4,0.6127
DSCN7613.JPG,0.6,3,0.7408
DSCN7613.JPG,0.7,4,0.6462
DSCN7613.JPG,0.8,4,0.7102
DSCN7613.JPG,0.9,4,0.7217
DSCN7613.JPG,1.0,5,0.6441
DSCN7613.JPG,1.1,4,0.7583
DSCN7613.JPG,1.2,4,0.7588
DSCN7613.JPG,1.3,4,0.7604
DSCN7613.JPG,1.4,4,0.6817
DSCN7613.JPG,1.5,4,0.612
DSCN7613.JPG,0.1,4,0.5672
DSCN7613.JPG,0.2,4,0.597
DSCN7613.JPG,0.3,5,0.5281
DSCN7613.JPG,0.4,4,0.6096
DSCN7613.JPG,0.5,4,0.6127
DSCN7613.JPG,0.6,3,0.7408
DSCN7613.JPG,0.7,4,0.6462
DSCN7613.JPG,0.8,4,0.7102
DSCN7613.JPG,0.9,4,0.7217
DSCN7613.JPG,1.0,5,0.6441
DSCN7613.JPG,1.1,4,0.7583
